Beverage Info,Type,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Chol_to_C,Carb_to_C,F_to_C,S_to_C,P_to_C,A_to_C,C_to_C,Ca_to_C,Fe_to_C,Calories from Carbohydrates,Calories from Fiber,Calories from Protein
Caramel Macchiato - Grande Nonfat Milk-SBUX,,190,1.0,0.0,1.0,35,10,130,0,32,11,20,0,35,0,18.42%,68.42%,0.00%,16.84%,5.79%,10.53%,0.00%,18.42%,0.00%,520,0,44
Caramel Macchiato - 2% Milk-SBUX,,240,7.0,0.2,3.5,34,25,150,0,32,10,15,2,30,0,14.17%,62.50%,0.00%,13.33%,4.17%,6.25%,0.83%,12.50%,0.00%,600,0,40
Caramel Macchiato - Venti Nonfat Milk-SBUX,,240,1.0,0.0,1.0,43,10,170,0,41,13,25,0,40,0,17.92%,70.83%,0.00%,17.08%,5.42%,10.42%,0.00%,16.67%,0.00%,680,0,52
Caramel Macchiato - 2% Milk-SBUX,,300,8.0,0.2,4.5,43,35,180,0,40,13,20,2,40,0,14.33%,60.00%,0.00%,13.33%,4.33%,6.67%,0.67%,13.33%,0.00%,720,0,52
Hot Chocolate (Without Whipped Cream) - 2% Milk-SBUX,,150,4.5,0.1,2.5,26,15,80,1,22,7,10,0,20,10,17.33%,53.33%,0.67%,14.67%,4.67%,6.67%,0.00%,13.33%,6.67%,320,2,28
Hot Chocolate (Without Whipped Cream) - Tall Nonfat Milk-SBUX,Nonfat Hot Chocolate (Tall),190,2.0,0.0,1.0,37,5,110,1,32,11,15,0,30,20,19.47%,57.89%,0.53%,16.84%,5.79%,7.89%,0.00%,15.79%,10.53%,440,2,44
Hot Chocolate (Without Whipped Cream) - 2% Milk-SBUX,,230,7.0,0.2,3.5,37,20,120,1,32,10,15,0,30,20,16.09%,52.17%,0.43%,13.91%,4.35%,6.52%,0.00%,13.04%,8.70%,480,2,40
Hot Chocolate (Without Whipped Cream) - Grande Nonfat Milk-SBUX,Nonfat Hot Chocolate (Grande),240,2.5,0.0,1.5,48,5,140,2,41,14,20,0,40,25,20.00%,58.33%,0.83%,17.08%,5.83%,8.33%,0.00%,16.67%,10.42%,560,4,56
Hot Chocolate (Without Whipped Cream) - 2% Milk-SBUX,,290,9.0,0.2,5.0,47,25,160,2,41,14,20,2,40,25,16.21%,55.17%,0.69%,14.14%,4.83%,6.90%,0.69%,13.79%,8.62%,640,4,56
Hot Chocolate (Without Whipped Cream) - Venti Nonfat Milk-SBUX,Nonfat Hot Chocolate (Venti),320,3.0,0.0,2.0,63,10,180,2,55,18,25,0,50,30,19.69%,56.25%,0.62%,17.19%,5.62%,7.81%,0.00%,15.62%,9.38%,720,4,72
Hot Chocolate (Without Whipped Cream) - 2% Milk-SBUX,,380,11.0,0.3,6.0,63,35,200,2,54,17,25,2,50,30,16.58%,52.63%,0.53%,14.21%,4.47%,6.58%,0.53%,13.16%,7.89%,800,4,68
Iced Brewed Coffee (With Classic Syrup) - Tall-SBUX,,60,0.0,0.0,0.0,15,0,4,0,15,0,0,0,0,0,25.00%,6.67%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16,0,0
Iced Brewed Coffee (With Classic Syrup) - Grande-SBUX,,90,0.1,0.0,0.0,21,0,5,0,21,0,0,0,0,0,23.33%,5.56%,0.00%,23.33%,0.00%,0.00%,0.00%,0.00%,0.00%,20,0,0
Iced Brewed Coffee (With Classic Syrup) - Venti-SBUX,,130,0.1,0.0,0.0,31,0,5,0,31,0,0,0,0,0,23.85%,3.85%,0.00%,23.85%,0.00%,0.00%,0.00%,0.00%,0.00%,20,0,0
Iced Brewed Coffee (With Milk & Classic Syrup) - Tall Nonfat Milk-SBUX,,80,0.1,0.0,0.0,18,0,25,0,18,2,2,0,6,0,22.50%,31.25%,0.00%,22.50%,2.50%,2.50%,0.00%,7.50%,0.00%,100,0,8
Iced Brewed Coffee (With Milk & Classic Syrup) - 2% Milk-SBUX,,90,1.0,0.0,0.5,18,5,25,0,18,2,2,0,6,0,20.00%,27.78%,0.00%,20.00%,2.22%,2.22%,0.00%,6.67%,0.00%,100,0,8
Iced Brewed Coffee (With Milk & Classic Syrup) - Grande Nonfat Milk-SBUX,,110,0.1,0.0,0.0,24,0,30,0,24,2,4,0,8,2,21.82%,27.27%,0.00%,21.82%,1.82%,3.64%,0.00%,7.27%,1.82%,120,0,8
Iced Brewed Coffee (With Milk & Classic Syrup) - 2% Milk-SBUX,,120,1.5,0.0,0.5,24,5,35,0,24,2,4,0,8,0,20.00%,29.17%,0.00%,20.00%,1.67%,3.33%,0.00%,6.67%,0.00%,140,0,8
Iced Brewed Coffee (With Milk & Classic Syrup) - Venti Nonfat Milk-SBUX,,160,0.1,0.0,0.1,36,0,50,0,36,4,6,0,10,4,22.50%,31.25%,0.00%,22.50%,2.50%,3.75%,0.00%,6.25%,2.50%,200,0,16
Iced Brewed Coffee (With Milk & Classic Syrup) - 2% Milk-SBUX,,180,2.0,0.1,1.0,36,10,55,0,36,4,6,0,10,0,20.00%,30.56%,0.00%,20.00%,2.22%,3.33%,0.00%,5.56%,0.00%,220,0,16
Strawberry Banana Smoothie - Grande Nonfat Milk-SBUX,Strawberry Banana Smoothie (Grande),290,1.0,0.0,0.3,58,5,125,7,41,16,4,100,10,8,20.00%,43.10%,2.41%,14.14%,5.52%,1.38%,34.48%,3.45%,2.76%,500,14,64
